line,line_group,total_ridership,total_transfers,station_count
R,yellow,4253101,172261,42
C,blue,3978874,75508,38
6,green,3634219,98003,37
A,blue,3515722,67440,42
5,green,3407900,125234,43
4,green,3241844,122449,26
E,blue,3055120,157626,19
B,orange,3043383,98246,35
F,orange,2931313,179063,40
M,orange,2779085,117016,32
2,red,2703048,81424,45
1,red,2698726,60600,35
D,orange,2693302,71022,34
Q,yellow,2672574,90354,28
W,yellow,2653462,61179,21
N,yellow,2517656,62601,25
7,purple,2359024,117254,20
3,red,2299168,55832,30
L,grey,1850493,51411,23
J,brown,1596385,78944,30
Z,brown,1442032,73745,20
S,shuttle,815778,8023,10
G,lime,806429,19841,20
SIR,other,46319,11218,2
Manhattan,other,32110,8987,1
Roosevelt,other,27896,4953,1
